AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-06-22,1.0,Los Angeles International,63,Los Angeles,California,United States of America (the)
Daily,2020-09-27,1.0,Los Angeles International,68,Los Angeles,California,United States of America (the)
Daily,2020-03-22,1.0,Los Angeles International,76,Los Angeles,California,United States of America (the)
Daily,2020-03-23,1.0,Los Angeles International,73,Los Angeles,California,United States of America (the)
Daily,2020-05-19,1.0,Los Angeles International,67,Los Angeles,California,United States of America (the)
Daily,2020-06-07,1.0,Los Angeles International,53,Los Angeles,California,United States of America (the)
Daily,2020-08-23,1.0,Los Angeles International,69,Los Angeles,California,United States of America (the)
Daily,2020-09-07,1.0,Los Angeles International,44,Los Angeles,California,United States of America (the)
Daily,2020-09-13,1.0,Los Angeles International,71,Los Angeles,California,United States of America (the)
Daily,2020-10-15,1.0,Los Angeles International,81,Los Angeles,California,United States of America (the)
Daily,2020-03-20,1.0,Los Angeles International,84,Los Angeles,California,United States of America (the)
Daily,2020-03-31,1.0,Los Angeles International,70,Los Angeles,California,United States of America (the)
Daily,2020-05-20,1.0,Los Angeles International,62,Los Angeles,California,United States of America (the)
Daily,2020-10-12,1.0,Los Angeles International,79,Los Angeles,California,United States of America (the)
Daily,2020-11-20,1.0,Los Angeles International,86,Los Angeles,California,United States of America (the)
Daily,2020-05-15,1.0,Los Angeles International,68,Los Angeles,California,United States of America (the)
Daily,2020-06-08,1.0,Los Angeles International,69,Los Angeles,California,United States of America (the)
Daily,2020-07-13,1.0,Los Angeles International,75,Los Angeles,California,United States of America (the)
Daily,2020-07-24,1.0,Los Angeles International,72,Los Angeles,California,United States of America (the)
Daily,2020-09-12,1.0,Los Angeles International,77,Los Angeles,California,United States of America (the)
Daily,2020-10-07,1.0,Los Angeles International,74,Los Angeles,California,United States of America (the)
Daily,2020-10-11,1.0,Los Angeles International,70,Los Angeles,California,United States of America (the)
Daily,2020-11-15,1.0,Los Angeles International,72,Los Angeles,California,United States of America (the)
Daily,2020-05-05,1.0,Los Angeles International,69,Los Angeles,California,United States of America (the)
Daily,2020-05-25,1.0,Los Angeles International,32,Los Angeles,California,United States of America (the)
Daily,2020-06-06,1.0,Los Angeles International,64,Los Angeles,California,United States of America (the)
