AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-04-18,1.0,Miami International ,60,Miami Springs,Florida,United States of America (the)
Daily,2020-05-27,1.0,Miami International ,70,Miami Springs,Florida,United States of America (the)
Daily,2020-06-12,1.0,Miami International ,82,Miami Springs,Florida,United States of America (the)
Daily,2020-08-22,1.0,Miami International ,45,Miami Springs,Florida,United States of America (the)
Daily,2020-10-19,1.0,Miami International ,84,Miami Springs,Florida,United States of America (the)
Daily,2020-10-24,1.0,Miami International ,51,Miami Springs,Florida,United States of America (the)
Daily,2020-11-09,1.0,Miami International ,40,Miami Springs,Florida,United States of America (the)
Daily,2020-11-15,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-04-07,1.0,Miami International ,67,Miami Springs,Florida,United States of America (the)
Daily,2020-05-15,1.0,Miami International ,68,Miami Springs,Florida,United States of America (the)
Daily,2020-05-24,1.0,Miami International ,58,Miami Springs,Florida,United States of America (the)
Daily,2020-07-19,1.0,Miami International ,79,Miami Springs,Florida,United States of America (the)
Daily,2020-08-01,1.0,Miami International ,55,Miami Springs,Florida,United States of America (the)
Daily,2020-11-05,1.0,Miami International ,70,Miami Springs,Florida,United States of America (the)
Daily,2020-05-05,1.0,Miami International ,81,Miami Springs,Florida,United States of America (the)
Daily,2020-07-15,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-08-10,1.0,Miami International ,62,Miami Springs,Florida,United States of America (the)
Daily,2020-09-26,1.0,Miami International ,55,Miami Springs,Florida,United States of America (the)
Daily,2020-10-01,1.0,Miami International ,59,Miami Springs,Florida,United States of America (the)
Daily,2020-10-16,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-06-21,1.0,Miami International ,60,Miami Springs,Florida,United States of America (the)
Daily,2020-05-12,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-06-11,1.0,Miami International ,77,Miami Springs,Florida,United States of America (the)
Daily,2020-03-22,1.0,Miami International ,62,Miami Springs,Florida,United States of America (the)
Daily,2020-04-19,1.0,Miami International ,64,Miami Springs,Florida,United States of America (the)
Daily,2020-07-21,1.0,Miami International ,92,Miami Springs,Florida,United States of America (the)
Daily,2020-09-22,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-10-29,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-11-13,1.0,Miami International ,88,Miami Springs,Florida,United States of America (the)
Daily,2020-09-24,1.0,Miami International ,66,Miami Springs,Florida,United States of America (the)
Daily,2020-03-17,1.0,Miami International ,90,Miami Springs,Florida,United States of America (the)
Daily,2020-05-06,1.0,Miami International ,71,Miami Springs,Florida,United States of America (the)
Daily,2020-05-18,1.0,Miami International ,67,Miami Springs,Florida,United States of America (the)
Daily,2020-05-23,1.0,Miami International ,64,Miami Springs,Florida,United States of America (the)
Daily,2020-06-04,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-07-04,1.0,Miami International ,43,Miami Springs,Florida,United States of America (the)
Daily,2020-11-11,1.0,Miami International ,75,Miami Springs,Florida,United States of America (the)
Daily,2020-04-17,1.0,Miami International ,69,Miami Springs,Florida,United States of America (the)
Daily,2020-05-02,1.0,Miami International ,89,Miami Springs,Florida,United States of America (the)
Daily,2020-05-25,1.0,Miami International ,19,Miami Springs,Florida,United States of America (the)
Daily,2020-07-23,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-08-16,1.0,Miami International ,60,Miami Springs,Florida,United States of America (the)
Daily,2020-08-25,1.0,Miami International ,81,Miami Springs,Florida,United States of America (the)
Daily,2020-09-04,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-09-11,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-10-08,1.0,Miami International ,64,Miami Springs,Florida,United States of America (the)
Daily,2020-10-21,1.0,Miami International ,68,Miami Springs,Florida,United States of America (the)
Daily,2020-11-30,1.0,Miami International ,80,Miami Springs,Florida,United States of America (the)
Daily,2020-12-02,1.0,Miami International ,84,Miami Springs,Florida,United States of America (the)
Daily,2020-03-24,1.0,Miami International ,69,Miami Springs,Florida,United States of America (the)
Daily,2020-03-26,1.0,Miami International ,62,Miami Springs,Florida,United States of America (the)
Daily,2020-06-07,1.0,Miami International ,98,Miami Springs,Florida,United States of America (the)
Daily,2020-08-19,1.0,Miami International ,71,Miami Springs,Florida,United States of America (the)
Daily,2020-11-22,1.0,Miami International ,65,Miami Springs,Florida,United States of America (the)
Daily,2020-03-25,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-05-08,1.0,Miami International ,66,Miami Springs,Florida,United States of America (the)
Daily,2020-10-22,1.0,Miami International ,71,Miami Springs,Florida,United States of America (the)
Daily,2020-10-23,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-05-01,1.0,Miami International ,86,Miami Springs,Florida,United States of America (the)
Daily,2020-05-03,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-07-02,1.0,Miami International ,84,Miami Springs,Florida,United States of America (the)
Daily,2020-08-20,1.0,Miami International ,70,Miami Springs,Florida,United States of America (the)
Daily,2020-09-07,1.0,Miami International ,31,Miami Springs,Florida,United States of America (the)
Daily,2020-10-02,1.0,Miami International ,66,Miami Springs,Florida,United States of America (the)
Daily,2020-11-04,1.0,Miami International ,69,Miami Springs,Florida,United States of America (the)
Daily,2020-07-13,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-07-20,1.0,Miami International ,81,Miami Springs,Florida,United States of America (the)
Daily,2020-09-12,1.0,Miami International ,48,Miami Springs,Florida,United States of America (the)
Daily,2020-11-16,1.0,Miami International ,81,Miami Springs,Florida,United States of America (the)
Daily,2020-08-15,1.0,Miami International ,44,Miami Springs,Florida,United States of America (the)
Daily,2020-09-28,1.0,Miami International ,80,Miami Springs,Florida,United States of America (the)
Daily,2020-10-13,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-10-14,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-10-25,1.0,Miami International ,60,Miami Springs,Florida,United States of America (the)
Daily,2020-11-06,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-06-06,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-08-05,1.0,Miami International ,70,Miami Springs,Florida,United States of America (the)
Daily,2020-11-02,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-11-12,1.0,Miami International ,71,Miami Springs,Florida,United States of America (the)
Daily,2020-05-07,1.0,Miami International ,70,Miami Springs,Florida,United States of America (the)
Daily,2020-11-27,1.0,Miami International ,47,Miami Springs,Florida,United States of America (the)
Daily,2020-06-14,1.0,Miami International ,62,Miami Springs,Florida,United States of America (the)
Daily,2020-06-16,1.0,Miami International ,80,Miami Springs,Florida,United States of America (the)
Daily,2020-09-29,1.0,Miami International ,78,Miami Springs,Florida,United States of America (the)
Daily,2020-10-11,1.0,Miami International ,54,Miami Springs,Florida,United States of America (the)
Daily,2020-11-10,1.0,Miami International ,80,Miami Springs,Florida,United States of America (the)
Daily,2020-11-20,1.0,Miami International ,78,Miami Springs,Florida,United States of America (the)
Daily,2020-04-03,1.0,Miami International ,66,Miami Springs,Florida,United States of America (the)
Daily,2020-11-28,1.0,Miami International ,59,Miami Springs,Florida,United States of America (the)
Daily,2020-03-21,1.0,Miami International ,56,Miami Springs,Florida,United States of America (the)
Daily,2020-04-04,1.0,Miami International ,59,Miami Springs,Florida,United States of America (the)
Daily,2020-06-30,1.0,Miami International ,87,Miami Springs,Florida,United States of America (the)
Daily,2020-07-22,1.0,Miami International ,88,Miami Springs,Florida,United States of America (the)
Daily,2020-06-28,1.0,Miami International ,66,Miami Springs,Florida,United States of America (the)
Daily,2020-07-30,1.0,Miami International ,69,Miami Springs,Florida,United States of America (the)
Daily,2020-08-27,1.0,Miami International ,78,Miami Springs,Florida,United States of America (the)
Daily,2020-09-01,1.0,Miami International ,79,Miami Springs,Florida,United States of America (the)
Daily,2020-03-31,1.0,Miami International ,68,Miami Springs,Florida,United States of America (the)
Daily,2020-04-10,1.0,Miami International ,56,Miami Springs,Florida,United States of America (the)
Daily,2020-11-03,1.0,Miami International ,67,Miami Springs,Florida,United States of America (the)
Daily,2020-04-29,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-07-01,1.0,Miami International ,86,Miami Springs,Florida,United States of America (the)
Daily,2020-08-21,1.0,Miami International ,75,Miami Springs,Florida,United States of America (the)
Daily,2020-10-20,1.0,Miami International ,85,Miami Springs,Florida,United States of America (the)
Daily,2020-10-31,1.0,Miami International ,49,Miami Springs,Florida,United States of America (the)
Daily,2020-04-08,1.0,Miami International ,64,Miami Springs,Florida,United States of America (the)
Daily,2020-07-16,1.0,Miami International ,87,Miami Springs,Florida,United States of America (the)
Daily,2020-10-07,1.0,Miami International ,71,Miami Springs,Florida,United States of America (the)
Daily,2020-06-19,1.0,Miami International ,77,Miami Springs,Florida,United States of America (the)
Daily,2020-06-26,1.0,Miami International ,85,Miami Springs,Florida,United States of America (the)
Daily,2020-09-25,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-11-19,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-04-13,1.0,Miami International ,55,Miami Springs,Florida,United States of America (the)
Daily,2020-05-11,1.0,Miami International ,64,Miami Springs,Florida,United States of America (the)
Daily,2020-08-31,1.0,Miami International ,69,Miami Springs,Florida,United States of America (the)
Daily,2020-10-04,1.0,Miami International ,53,Miami Springs,Florida,United States of America (the)
Daily,2020-10-28,1.0,Miami International ,77,Miami Springs,Florida,United States of America (the)
Daily,2020-04-16,1.0,Miami International ,63,Miami Springs,Florida,United States of America (the)
Daily,2020-05-19,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-06-27,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-07-24,1.0,Miami International ,78,Miami Springs,Florida,United States of America (the)
Daily,2020-09-06,1.0,Miami International ,62,Miami Springs,Florida,United States of America (the)
Daily,2020-03-20,1.0,Miami International ,80,Miami Springs,Florida,United States of America (the)
Daily,2020-04-26,1.0,Miami International ,81,Miami Springs,Florida,United States of America (the)
Daily,2020-05-20,1.0,Miami International ,77,Miami Springs,Florida,United States of America (the)
Daily,2020-07-25,1.0,Miami International ,67,Miami Springs,Florida,United States of America (the)
Daily,2020-08-07,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-08-12,1.0,Miami International ,75,Miami Springs,Florida,United States of America (the)
Daily,2020-10-12,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-11-17,1.0,Miami International ,87,Miami Springs,Florida,United States of America (the)
Daily,2020-11-25,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-04-25,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-05-04,1.0,Miami International ,75,Miami Springs,Florida,United States of America (the)
Daily,2020-07-27,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-11-23,1.0,Miami International ,90,Miami Springs,Florida,United States of America (the)
Daily,2020-07-17,1.0,Miami International ,90,Miami Springs,Florida,United States of America (the)
Daily,2020-07-26,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-08-02,1.0,Miami International ,66,Miami Springs,Florida,United States of America (the)
Daily,2020-09-14,1.0,Miami International ,69,Miami Springs,Florida,United States of America (the)
Daily,2020-09-15,1.0,Miami International ,79,Miami Springs,Florida,United States of America (the)
Daily,2020-10-27,1.0,Miami International ,78,Miami Springs,Florida,United States of America (the)
Daily,2020-11-18,1.0,Miami International ,85,Miami Springs,Florida,United States of America (the)
Daily,2020-12-01,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-05-17,1.0,Miami International ,57,Miami Springs,Florida,United States of America (the)
Daily,2020-06-29,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-10-06,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-03-30,1.0,Miami International ,62,Miami Springs,Florida,United States of America (the)
Daily,2020-05-16,1.0,Miami International ,66,Miami Springs,Florida,United States of America (the)
Daily,2020-06-03,1.0,Miami International ,91,Miami Springs,Florida,United States of America (the)
Daily,2020-06-23,1.0,Miami International ,92,Miami Springs,Florida,United States of America (the)
Daily,2020-07-18,1.0,Miami International ,71,Miami Springs,Florida,United States of America (the)
Daily,2020-07-31,1.0,Miami International ,82,Miami Springs,Florida,United States of America (the)
Daily,2020-04-21,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-07-29,1.0,Miami International ,70,Miami Springs,Florida,United States of America (the)
Daily,2020-08-30,1.0,Miami International ,64,Miami Springs,Florida,United States of America (the)
Daily,2020-09-20,1.0,Miami International ,60,Miami Springs,Florida,United States of America (the)
Daily,2020-09-30,1.0,Miami International ,67,Miami Springs,Florida,United States of America (the)
Daily,2020-03-18,1.0,Miami International ,82,Miami Springs,Florida,United States of America (the)
Daily,2020-04-01,1.0,Miami International ,68,Miami Springs,Florida,United States of America (the)
Daily,2020-04-05,1.0,Miami International ,45,Miami Springs,Florida,United States of America (the)
Daily,2020-04-20,1.0,Miami International ,66,Miami Springs,Florida,United States of America (the)
Daily,2020-04-24,1.0,Miami International ,68,Miami Springs,Florida,United States of America (the)
Daily,2020-06-05,1.0,Miami International ,86,Miami Springs,Florida,United States of America (the)
Daily,2020-06-18,1.0,Miami International ,79,Miami Springs,Florida,United States of America (the)
Daily,2020-08-03,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-08-18,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-09-18,1.0,Miami International ,77,Miami Springs,Florida,United States of America (the)
Daily,2020-04-23,1.0,Miami International ,62,Miami Springs,Florida,United States of America (the)
Daily,2020-07-03,1.0,Miami International ,54,Miami Springs,Florida,United States of America (the)
Daily,2020-03-16,1.0,Miami International ,98,Miami Springs,Florida,United States of America (the)
Daily,2020-05-09,1.0,Miami International ,51,Miami Springs,Florida,United States of America (the)
Daily,2020-06-01,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-06-15,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-06-22,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-06-24,1.0,Miami International ,85,Miami Springs,Florida,United States of America (the)
Daily,2020-06-25,1.0,Miami International ,80,Miami Springs,Florida,United States of America (the)
Daily,2020-07-07,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-08-14,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-09-16,1.0,Miami International ,77,Miami Springs,Florida,United States of America (the)
Daily,2020-10-03,1.0,Miami International ,41,Miami Springs,Florida,United States of America (the)
Daily,2020-11-07,1.0,Miami International ,53,Miami Springs,Florida,United States of America (the)
Daily,2020-11-24,1.0,Miami International ,82,Miami Springs,Florida,United States of America (the)
Daily,2020-05-14,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-08-09,1.0,Miami International ,63,Miami Springs,Florida,United States of America (the)
Daily,2020-09-02,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-09-17,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-09-19,1.0,Miami International ,52,Miami Springs,Florida,United States of America (the)
Daily,2020-04-09,1.0,Miami International ,67,Miami Springs,Florida,United States of America (the)
Daily,2020-04-11,1.0,Miami International ,48,Miami Springs,Florida,United States of America (the)
Daily,2020-04-12,1.0,Miami International ,40,Miami Springs,Florida,United States of America (the)
Daily,2020-05-28,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-05-30,1.0,Miami International ,64,Miami Springs,Florida,United States of America (the)
Daily,2020-05-31,1.0,Miami International ,59,Miami Springs,Florida,United States of America (the)
Daily,2020-06-02,1.0,Miami International ,83,Miami Springs,Florida,United States of America (the)
Daily,2020-06-13,1.0,Miami International ,61,Miami Springs,Florida,United States of America (the)
Daily,2020-08-24,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-09-13,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-10-26,1.0,Miami International ,82,Miami Springs,Florida,United States of America (the)
Daily,2020-11-26,1.0,Miami International ,25,Miami Springs,Florida,United States of America (the)
Daily,2020-06-17,1.0,Miami International ,80,Miami Springs,Florida,United States of America (the)
Daily,2020-08-06,1.0,Miami International ,70,Miami Springs,Florida,United States of America (the)
Daily,2020-03-23,1.0,Miami International ,71,Miami Springs,Florida,United States of America (the)
Daily,2020-07-10,1.0,Miami International ,79,Miami Springs,Florida,United States of America (the)
Daily,2020-08-28,1.0,Miami International ,85,Miami Springs,Florida,United States of America (the)
Daily,2020-09-05,1.0,Miami International ,49,Miami Springs,Florida,United States of America (the)
Daily,2020-11-14,1.0,Miami International ,60,Miami Springs,Florida,United States of America (the)
Daily,2020-04-22,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-04-27,1.0,Miami International ,75,Miami Springs,Florida,United States of America (the)
Daily,2020-05-10,1.0,Miami International ,65,Miami Springs,Florida,United States of America (the)
Daily,2020-08-04,1.0,Miami International ,72,Miami Springs,Florida,United States of America (the)
Daily,2020-09-23,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-10-15,1.0,Miami International ,73,Miami Springs,Florida,United States of America (the)
Daily,2020-03-19,1.0,Miami International ,75,Miami Springs,Florida,United States of America (the)
Daily,2020-03-29,1.0,Miami International ,52,Miami Springs,Florida,United States of America (the)
Daily,2020-05-29,1.0,Miami International ,81,Miami Springs,Florida,United States of America (the)
Daily,2020-06-08,1.0,Miami International ,82,Miami Springs,Florida,United States of America (the)
Daily,2020-06-20,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-07-06,1.0,Miami International ,70,Miami Springs,Florida,United States of America (the)
Daily,2020-07-11,1.0,Miami International ,71,Miami Springs,Florida,United States of America (the)
Daily,2020-09-21,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-10-17,1.0,Miami International ,57,Miami Springs,Florida,United States of America (the)
Daily,2020-11-21,1.0,Miami International ,66,Miami Springs,Florida,United States of America (the)
Daily,2020-04-28,1.0,Miami International ,81,Miami Springs,Florida,United States of America (the)
Daily,2020-07-08,1.0,Miami International ,80,Miami Springs,Florida,United States of America (the)
Daily,2020-08-29,1.0,Miami International ,67,Miami Springs,Florida,United States of America (the)
Daily,2020-10-30,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-11-29,1.0,Miami International ,63,Miami Springs,Florida,United States of America (the)
Daily,2020-05-21,1.0,Miami International ,74,Miami Springs,Florida,United States of America (the)
Daily,2020-07-09,1.0,Miami International ,76,Miami Springs,Florida,United States of America (the)
Daily,2020-09-03,1.0,Miami International ,79,Miami Springs,Florida,United States of America (the)
Daily,2020-09-10,1.0,Miami International ,67,Miami Springs,Florida,United States of America (the)
