AggregationMethod,Date,Version,AirportName,PercentOfBaseline,City,State,Country
Daily,2020-06-11,1.0,Washington Dulles International ,53,Floris,Virginia,United States of America (the)
Daily,2020-09-06,1.0,Washington Dulles International ,46,Floris,Virginia,United States of America (the)
Daily,2020-12-02,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-03-21,1.0,Washington Dulles International ,71,Floris,Virginia,United States of America (the)
Daily,2020-03-24,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-04-03,1.0,Washington Dulles International ,51,Floris,Virginia,United States of America (the)
Daily,2020-05-10,1.0,Washington Dulles International ,34,Floris,Virginia,United States of America (the)
Daily,2020-06-28,1.0,Washington Dulles International ,28,Floris,Virginia,United States of America (the)
Daily,2020-08-11,1.0,Washington Dulles International ,64,Floris,Virginia,United States of America (the)
Daily,2020-08-18,1.0,Washington Dulles International ,61,Floris,Virginia,United States of America (the)
Daily,2020-10-29,1.0,Washington Dulles International ,56,Floris,Virginia,United States of America (the)
Daily,2020-04-15,1.0,Washington Dulles International ,59,Floris,Virginia,United States of America (the)
Daily,2020-08-02,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-05-18,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-06-26,1.0,Washington Dulles International ,55,Floris,Virginia,United States of America (the)
Daily,2020-08-22,1.0,Washington Dulles International ,62,Floris,Virginia,United States of America (the)
Daily,2020-09-01,1.0,Washington Dulles International ,72,Floris,Virginia,United States of America (the)
Daily,2020-09-05,1.0,Washington Dulles International ,38,Floris,Virginia,United States of America (the)
Daily,2020-05-26,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-05-27,1.0,Washington Dulles International ,59,Floris,Virginia,United States of America (the)
Daily,2020-09-28,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-03-17,1.0,Washington Dulles International ,94,Floris,Virginia,United States of America (the)
Daily,2020-04-12,1.0,Washington Dulles International ,36,Floris,Virginia,United States of America (the)
Daily,2020-04-22,1.0,Washington Dulles International ,53,Floris,Virginia,United States of America (the)
Daily,2020-04-25,1.0,Washington Dulles International ,46,Floris,Virginia,United States of America (the)
Daily,2020-06-16,1.0,Washington Dulles International ,53,Floris,Virginia,United States of America (the)
Daily,2020-08-01,1.0,Washington Dulles International ,59,Floris,Virginia,United States of America (the)
Daily,2020-10-18,1.0,Washington Dulles International ,70,Floris,Virginia,United States of America (the)
Daily,2020-10-23,1.0,Washington Dulles International ,67,Floris,Virginia,United States of America (the)
Daily,2020-03-30,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-04-24,1.0,Washington Dulles International ,53,Floris,Virginia,United States of America (the)
Daily,2020-05-04,1.0,Washington Dulles International ,60,Floris,Virginia,United States of America (the)
Daily,2020-07-22,1.0,Washington Dulles International ,71,Floris,Virginia,United States of America (the)
Daily,2020-07-24,1.0,Washington Dulles International ,50,Floris,Virginia,United States of America (the)
Daily,2020-09-20,1.0,Washington Dulles International ,66,Floris,Virginia,United States of America (the)
Daily,2020-10-14,1.0,Washington Dulles International ,74,Floris,Virginia,United States of America (the)
Daily,2020-04-18,1.0,Washington Dulles International ,36,Floris,Virginia,United States of America (the)
Daily,2020-04-26,1.0,Washington Dulles International ,44,Floris,Virginia,United States of America (the)
Daily,2020-06-23,1.0,Washington Dulles International ,61,Floris,Virginia,United States of America (the)
Daily,2020-08-08,1.0,Washington Dulles International ,46,Floris,Virginia,United States of America (the)
Daily,2020-08-31,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-11-06,1.0,Washington Dulles International ,51,Floris,Virginia,United States of America (the)
Daily,2020-07-06,1.0,Washington Dulles International ,45,Floris,Virginia,United States of America (the)
Daily,2020-10-04,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-10-12,1.0,Washington Dulles International ,69,Floris,Virginia,United States of America (the)
Daily,2020-05-20,1.0,Washington Dulles International ,56,Floris,Virginia,United States of America (the)
Daily,2020-08-26,1.0,Washington Dulles International ,67,Floris,Virginia,United States of America (the)
Daily,2020-09-24,1.0,Washington Dulles International ,62,Floris,Virginia,United States of America (the)
Daily,2020-06-24,1.0,Washington Dulles International ,67,Floris,Virginia,United States of America (the)
Daily,2020-09-16,1.0,Washington Dulles International ,73,Floris,Virginia,United States of America (the)
Daily,2020-04-27,1.0,Washington Dulles International ,56,Floris,Virginia,United States of America (the)
Daily,2020-05-30,1.0,Washington Dulles International ,47,Floris,Virginia,United States of America (the)
Daily,2020-10-19,1.0,Washington Dulles International ,71,Floris,Virginia,United States of America (the)
Daily,2020-11-12,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-11-16,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-07-14,1.0,Washington Dulles International ,63,Floris,Virginia,United States of America (the)
Daily,2020-08-30,1.0,Washington Dulles International ,41,Floris,Virginia,United States of America (the)
Daily,2020-09-26,1.0,Washington Dulles International ,49,Floris,Virginia,United States of America (the)
Daily,2020-06-07,1.0,Washington Dulles International ,43,Floris,Virginia,United States of America (the)
Daily,2020-10-03,1.0,Washington Dulles International ,50,Floris,Virginia,United States of America (the)
Daily,2020-11-03,1.0,Washington Dulles International ,69,Floris,Virginia,United States of America (the)
Daily,2020-11-15,1.0,Washington Dulles International ,58,Floris,Virginia,United States of America (the)
Daily,2020-03-25,1.0,Washington Dulles International ,59,Floris,Virginia,United States of America (the)
Daily,2020-06-14,1.0,Washington Dulles International ,40,Floris,Virginia,United States of America (the)
Daily,2020-09-15,1.0,Washington Dulles International ,81,Floris,Virginia,United States of America (the)
Daily,2020-10-05,1.0,Washington Dulles International ,73,Floris,Virginia,United States of America (the)
Daily,2020-11-19,1.0,Washington Dulles International ,58,Floris,Virginia,United States of America (the)
Daily,2020-04-05,1.0,Washington Dulles International ,32,Floris,Virginia,United States of America (the)
Daily,2020-04-16,1.0,Washington Dulles International ,51,Floris,Virginia,United States of America (the)
Daily,2020-05-19,1.0,Washington Dulles International ,48,Floris,Virginia,United States of America (the)
Daily,2020-09-04,1.0,Washington Dulles International ,47,Floris,Virginia,United States of America (the)
Daily,2020-11-11,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-11-23,1.0,Washington Dulles International ,68,Floris,Virginia,United States of America (the)
Daily,2020-11-26,1.0,Washington Dulles International ,12,Floris,Virginia,United States of America (the)
Daily,2020-11-27,1.0,Washington Dulles International ,30,Floris,Virginia,United States of America (the)
Daily,2020-07-21,1.0,Washington Dulles International ,68,Floris,Virginia,United States of America (the)
Daily,2020-07-28,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-08-03,1.0,Washington Dulles International ,64,Floris,Virginia,United States of America (the)
Daily,2020-08-13,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-08-25,1.0,Washington Dulles International ,68,Floris,Virginia,United States of America (the)
Daily,2020-10-01,1.0,Washington Dulles International ,67,Floris,Virginia,United States of America (the)
Daily,2020-10-02,1.0,Washington Dulles International ,62,Floris,Virginia,United States of America (the)
Daily,2020-10-07,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-11-07,1.0,Washington Dulles International ,56,Floris,Virginia,United States of America (the)
Daily,2020-04-06,1.0,Washington Dulles International ,60,Floris,Virginia,United States of America (the)
Daily,2020-04-10,1.0,Washington Dulles International ,46,Floris,Virginia,United States of America (the)
Daily,2020-05-02,1.0,Washington Dulles International ,39,Floris,Virginia,United States of America (the)
Daily,2020-06-02,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-07-04,1.0,Washington Dulles International ,16,Floris,Virginia,United States of America (the)
Daily,2020-07-26,1.0,Washington Dulles International ,50,Floris,Virginia,United States of America (the)
Daily,2020-08-06,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-08-07,1.0,Washington Dulles International ,60,Floris,Virginia,United States of America (the)
Daily,2020-08-21,1.0,Washington Dulles International ,58,Floris,Virginia,United States of America (the)
Daily,2020-08-27,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-09-11,1.0,Washington Dulles International ,67,Floris,Virginia,United States of America (the)
Daily,2020-11-13,1.0,Washington Dulles International ,65,Floris,Virginia,United States of America (the)
Daily,2020-03-18,1.0,Washington Dulles International ,85,Floris,Virginia,United States of America (the)
Daily,2020-03-27,1.0,Washington Dulles International ,57,Floris,Virginia,United States of America (the)
Daily,2020-08-16,1.0,Washington Dulles International ,54,Floris,Virginia,United States of America (the)
Daily,2020-09-18,1.0,Washington Dulles International ,69,Floris,Virginia,United States of America (the)
Daily,2020-04-08,1.0,Washington Dulles International ,55,Floris,Virginia,United States of America (the)
